State (Emission order)	-100	-90	-80	-70	-60	-50	-40	-30	-20	-10	0	10	20	30	40	50	60	70	80	90	100
1	1.17589	1.15596	1.17589	1.17589	1.17589	1.19582	1.19582	1.21575	1.15596	1.17589	1.19582	1.25561	1.27554	1.31540	1.27554	1.25561	1.27554	1.19582	1.19519	1.19519	1.15535
2	1.28586	1.29249	1.29912	1.26598	1.24609	1.26598	1.26598	1.25272	1.25935	1.23946	1.24609	1.25272	1.25935	1.25935	1.25935	1.25935	1.23946	1.23946	1.21231	1.19244	1.18582
3	1.02361	0.99259	0.99259	0.96157	0.93056	0.93056	0.89954	0.91505	0.86852	0.86852	0.86852	0.82199	0.91505	0.96157	0.99259	0.88403	0.86852	0.93056	0.94557	0.97657	1.02307
4	0.69115	0.87964	0.50265	0.94248	1.00531	0.75398	0.94248	0.69115	1.06814	1.06814	1.13097	1.19380	0.75398	0.69115	0.69115	0.87964	1.00531	1.06814	1.00478	1.19317	0.81638
5	1.32823	0.99617	1.32823	0.99617	1.32823	1.82632	1.49426	1.49426	1.49426	1.32823	1.32823	1.82632	2.15838	1.82632	1.32823	1.82632	1.49426	1.32823	1.65942	0.99565	1.65942
6	1.25224	1.32180	1.18267	1.11310	1.39137	0.97396	1.11310	1.39137	1.46094	1.53051	1.32180	1.32180	1.32180	1.04353	1.11310	1.11310	1.39137	1.39137	1.25158	1.39064	1.46017
7	0.87219	0.75965	0.92846	0.90033	0.90033	0.73152	0.73152	0.81592	1.01287	0.95660	0.90033	0.98473	0.95660	0.87219	0.73152	0.75965	0.78779	0.92846	0.89985	0.92797	0.98421
8	1.18075	0.98396	0.98396	0.98396	0.45918	0.85276	0.98396	0.91836	1.04955	1.11515	1.18075	1.04955	0.85276	1.24634	1.44314	1.37754	1.24634	1.18075	1.37681	1.44238	1.24569
9	1.18140	1.05013	1.05013	1.31266	1.44393	1.44393	1.05013	1.05013	0.91886	0.65633	0.52507	1.05013	1.05013	1.18140	1.05013	0.91886	0.91886	0.78760	0.65599	0.65599	0.65599
10	0.86971	1.11820	1.61518	1.49094	1.49094	1.73943	1.73943	1.49094	1.24245	1.73943	1.73943	1.11820	1.11820	1.24245	1.24245	1.11820	1.24245	1.11820	1.11762	1.11762	0.99344
11	0.66421	1.06274	1.06274	0.73063	0.92989	0.92989	1.19558	1.39484	0.99631	0.66421	0.73063	0.86347	1.19558	1.12916	1.39484	1.46126	1.19558	1.39484	1.26133	1.26133	1.06218
12	0.97499	0.97634	0.96554	0.98040	0.98445	0.98040	0.98175	0.97229	0.96689	0.96959	0.97905	0.97094	0.96554	0.95879	0.96419	0.96689	0.96959	0.96689	0.97043	0.96098	0.96368
13	0.94682	0.94837	0.94993	0.94837	0.94837	0.94993	0.94682	0.94837	0.94837	0.94837	0.94682	0.94837	0.94993	0.94993	0.94837	0.94837	0.94682	0.94682	0.94632	0.94632	0.94477
14	1.30939	1.30939	1.20867	1.41011	1.30939	1.00722	1.00722	0.80578	0.80578	1.00722	1.20867	1.10795	0.90650	1.10795	1.20867	1.30939	1.10795	1.10795	1.30870	1.40937	1.61071
15	1.01684	1.00044	1.01684	0.98403	0.98403	1.03324	1.00864	1.04964	1.06604	1.08244	1.02504	1.01684	1.02504	1.03324	1.00864	1.00864	1.04144	1.01684	1.02450	1.05728	1.08187
