State (Emission order)	-100	-90	-80	-70	-60	-50	-40	-30	-20	-10	0	10	20	30	40	50	60	70	80	90	100
1	0.76570	0.78311	0.78311	0.81791	0.83531	0.83531	0.87012	0.80051	0.80051	0.81791	0.83531	0.87012	0.88752	0.88752	0.88752	0.88752	1.00934	1.02674	1.00934	0.99193	0.99193
2	1.04174	1.04174	1.00702	1.00123	0.98965	1.01280	0.97808	0.99544	1.01280	1.00702	1.01280	0.99544	1.03017	1.01859	1.00123	1.00702	0.96072	0.97808	1.01859	1.02438	1.03017
3	0.97503	0.97503	1.00212	1.01566	0.97503	0.92086	0.96149	0.97503	0.98857	0.97503	0.94795	0.90732	0.86669	0.96149	0.94795	0.88024	0.92086	0.82607	0.83961	0.88024	0.96149
4	1.31669	1.15211	1.09725	1.15211	1.48128	1.53614	1.37156	0.98752	0.98752	0.98752	1.20697	1.15211	1.42642	1.15211	1.26183	1.20697	1.04238	1.37156	1.37156	1.09725	1.09725
5	0.72485	0.86982	1.15976	1.01479	0.57988	0.86982	0.72485	1.30473	1.30473	1.15976	0.57988	1.44970	1.30473	1.01479	0.28994	0.86982	1.15976	1.01479	1.15976	1.01479	0.57988
6	1.09340	1.09340	1.03266	0.91117	0.78968	0.60745	0.85043	0.72894	0.72894	0.85043	0.91117	0.66819	0.54670	0.54670	0.91117	1.09340	1.03266	1.09340	0.66819	0.91117	0.54670
7	1.25290	1.30203	1.13006	1.25290	1.20376	1.13006	0.85983	1.00723	0.93353	0.90896	0.93353	1.00723	1.10550	1.32660	1.22833	1.22833	1.25290	1.17920	1.15463	1.30203	1.05636
8	0.51549	0.74460	1.03098	0.91643	1.31737	1.31737	1.26009	1.14554	0.97371	1.20281	1.14554	0.97371	1.03098	0.97371	0.97371	0.57277	0.74460	1.08826	1.26009	0.85915	1.26009
9	1.60463	1.37540	1.03155	0.91693	0.45847	1.03155	1.49002	1.26078	1.26078	1.37540	1.14617	1.60463	1.26078	1.49002	1.37540	1.37540	1.37540	0.91693	1.03155	1.49002	0.80232
10	0.32546	0.75940	0.65092	0.75940	0.65092	0.86789	1.30183	1.73577	1.73577	1.84426	2.06123	1.84426	1.62729	1.30183	1.62729	1.95275	1.84426	1.95275	1.73577	1.73577	1.62729
11	1.27592	1.15993	1.56590	1.79788	1.97187	1.56590	1.15993	1.27592	1.21792	1.04393	1.10193	1.27592	1.68189	1.85588	1.68189	1.50790	1.33391	1.15993	1.33391	1.44991	1.50790
12	0.98811	0.97985	0.99400	0.98457	0.97396	0.97514	0.97985	0.98103	0.99282	0.99164	0.99282	0.99046	0.97749	0.96570	0.96806	0.98103	0.97514	0.97632	0.96924	0.96099	0.97867
13	0.98259	0.98123	0.98259	0.98123	0.98394	0.98394	0.98665	0.98665	0.98530	0.98394	0.98123	0.97988	0.98123	0.98123	0.97852	0.97445	0.97717	0.97852	0.97852	0.97717	0.97445
14	1.58305	1.67099	1.67099	1.67099	1.75894	1.67099	1.75894	1.58305	1.40715	1.31920	1.31920	1.49510	1.31920	1.40715	1.49510	1.58305	1.67099	1.49510	1.49510	1.67099	1.67099
15	1.09551	1.10983	1.03823	1.05255	1.09551	1.11699	1.15279	1.13847	1.10983	1.11699	1.10983	1.10267	1.09551	1.10267	1.13847	1.10983	1.12415	1.12415	1.13131	1.13131	1.11699
