State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.64078	0.98616	1.07645	1.06670	1.19582	0.83531	0.99796	1.02675
2	7.94061	1.08316	1.07422	1.05798	1.24609	1.01280	1.04087	0.94350
3	3.39356	1.03199	1.00971	1.06831	0.86852	0.94795	1.01184	0.95146
4	0.83766	1.02859	1.00346	1.08164	1.13097	1.20697	0.89996	0.90102
5	0.31700	1.00271	1.21114	1.07196	1.32823	0.57988	0.98401	0.79526
6	0.75654	1.06849	1.12222	1.04739	1.32180	0.91117	0.99059	0.95539
7	1.87067	0.94898	0.95177	1.05289	0.90033	0.93353	1.01380	1.08044
8	0.80235	1.05990	1.14389	1.08946	1.18075	1.14554	1.20168	0.97580
9	0.40095	1.32271	1.11752	1.07286	0.52507	1.14617	1.16734	0.86500
10	0.42361	1.13126	1.05421	1.10224	1.73943	2.06123	1.07081	0.84400
11	0.79239	1.21009	1.04311	1.05532	0.73063	1.10193	1.18076	0.91339
12	38.97458	0.93515	0.96301	1.05322	0.97905	0.99282	0.97565	1.07851
13	33.90849	1.01617	1.01364	0.90117	0.94682	0.98123	0.98553	0.96082
14	0.52254	1.27410	0.98152	1.03798	1.20867	1.31920	1.30968	0.70673
15	6.41826	1.11261	0.98020	0.99602	1.02504	1.10983	1.09136	0.87599
Base	100	1.6464085778	3.1272554456	42.5382361136	0.0012515158	0.0014333150	4.6297970107	23.6906490032
