State (Emission order)	H2AFZ	H3K9AC	H3K4ME2	H3K27AC	H3K4ME1	H4K20ME1	H3K79ME2	H3K36ME3	H3K9ME3	H3K27ME3
1	0.018831327179229404	0.01248595473055628	3.882994080237703E-4	0.00831439347493036	0.004353118687148813	0.004039286040795283	0.05661892629799487	0.32515635066955634	0.004602473731983107	0.0013214916804903522
2	0.015781106640726753	0.006378853275444691	5.326418689847982E-4	0.0017132553584784812	0.003853689208812558	0.003475823343370163	0.03659997638016324	0.0415703019258732	0.003000118771985996	0.0011011908494568117
3	0.01908946748939475	0.010965377111519367	0.0011008318625423399	0.009372140510188736	0.015307892496233612	0.023581438431044294	0.7517705219271806	0.09812150527265708	0.010733361637288073	0.0016074701152059214
4	0.05413173240295517	0.08821561908061894	0.3388305200595481	0.1769393491116906	0.3974946310056522	0.06448695870800221	0.9532834978758187	0.1259082282623243	0.008928935501666511	0.0033718422236368017
5	0.09743011515756218	0.5702332847207047	0.8213499950573931	0.8996795505888978	0.870942161750615	0.09065285942667191	0.9263333029754427	0.13833619537085798	0.012643380729096727	0.005960971126188903
6	0.057129286183045816	0.07538854105625047	0.14862597268327934	0.26513631108880686	0.4087560137026963	0.01129245158767256	0.151658645618885	0.09016211569336532	0.009025718392889853	0.003116905605348939
7	0.1339185705872316	0.02453032292714771	0.1840887115706716	0.07137068115684372	0.4406940182489257	0.0017422373095844139	0.003183642289970516	0.002163619205788485	0.007355182541000734	0.011129769931140574
8	0.32789779153211235	0.4450236623785069	0.7709932551478925	0.8858695300083282	0.8039761227362482	0.0054433072886909085	0.021736618855638223	0.010258119170515417	0.011728172934632727	0.01080503652332701
9	0.8743130834573576	0.9384567192864378	0.810019437248329	0.7200473941677914	0.11733780301209536	6.348666828903621E-4	0.07523829604888325	3.5292872371046045E-4	0.00984696647154274	0.0061559536664365306
10	0.5407170265987283	0.9720353137315727	0.8865864460340791	0.7623981728237054	0.0915127425208549	0.0358179990252191	0.9775203387427466	0.03882790636076646	0.026535958213601028	0.011737810380469942
11	0.48249151665869894	0.13369187875237545	0.6017637364320559	0.024596731363394908	0.16920125199483727	0.0026523195055040217	0.017745093482243034	0.001195638368052326	0.009542656853271643	0.09973506562535296
12	0.030314776988952078	0.0033500657593780662	3.722095654952728E-4	2.2549643188373485E-4	0.001488030531618846	7.649989109989642E-4	6.136261104330996E-4	0.00139282387300554	0.003113723232585299	0.012318825909745307
13	0.008902201667051038	0.001032223589140406	1.3587672718009324E-4	9.051875852411151E-5	1.0224463954521421E-4	2.9649645327314036E-4	1.9875056275101352E-4	4.0626936588582355E-4	0.017348000422895717	0.0014405911062207804
14	0.05445493647413758	0.006647377632164181	0.007524205505290676	0.008997928415570358	0.0057996304507792265	0.011414792036604093	0.02422826382072025	0.0581977083128875	0.49863215525181576	0.04269165249938574
15	0.018315312732251367	0.0042247736267699895	0.0027339269869726076	4.4815803508394507E-4	0.0027260598187901215	0.001860608774393141	5.213993994423756E-4	2.2499952711892742E-4	0.00413311229619185	0.23268001651486708
