15	10	E	-9537865.365447113	142
probinit	1	0.0
probinit	2	1.392980915104777E-138
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	3.177E-321
probinit	7	8.771100364414463E-154
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	9.399291038375843E-243
probinit	12	0.09849410455672661
probinit	13	0.9015058713157439
probinit	14	8.735591545994863E-192
probinit	15	2.4127529387482843E-8
transitionprobs	1	1	0.9598773581701376
transitionprobs	1	2	0.025132114015544015
transitionprobs	1	3	0.006341044268322679
transitionprobs	1	4	2.4531678513069915E-4
transitionprobs	1	5	0.0
transitionprobs	1	6	0.007965245260303736
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	4.389215005612133E-4
transitionprobs	1	15	0.0
transitionprobs	2	1	0.008747908535234222
transitionprobs	2	2	0.9600006816923512
transitionprobs	2	3	0.008571551336147853
transitionprobs	2	4	3.292979440137899E-4
transitionprobs	2	5	0.0
transitionprobs	2	6	0.014132862140607525
transitionprobs	2	7	0.0021588139827456387
transitionprobs	2	8	2.644125643040123E-4
transitionprobs	2	9	2.478340221573888E-4
transitionprobs	2	10	0.0
transitionprobs	2	11	0.001244237956064492
transitionprobs	2	12	0.0031438545491990276
transitionprobs	2	13	1.2134897970393323E-4
transitionprobs	2	14	0.0010371962974709168
transitionprobs	2	15	0.0
transitionprobs	3	1	0.005474408469505529
transitionprobs	3	2	0.020593587977964203
transitionprobs	3	3	0.9255759566204093
transitionprobs	3	4	0.044758322576823
transitionprobs	3	5	8.081861796997065E-4
transitionprobs	3	6	0.002490772630994029
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	1.517422206081669E-4
transitionprobs	3	11	2.0882249359296626E-5
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	1.2298732208112356E-4
transitionprobs	3	15	3.1537525556908843E-6
transitionprobs	4	1	7.422805550171169E-4
transitionprobs	4	2	0.002547276329764307
transitionprobs	4	3	0.1674501222353161
transitionprobs	4	4	0.7159184714950211
transitionprobs	4	5	0.06897746165518398
transitionprobs	4	6	0.010590762738029998
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	1.7800220730553116E-4
transitionprobs	4	10	0.03214364454234845
transitionprobs	4	11	0.0014222391068119224
transitionprobs	4	12	0.0
transitionprobs	4	13	1.0858208261148873E-6
transitionprobs	4	14	2.8653314375574318E-5
transitionprobs	4	15	0.0
transitionprobs	5	1	5.4274765344034414E-5
transitionprobs	5	2	0.0
transitionprobs	5	3	0.010903647267045569
transitionprobs	5	4	0.18725014910880972
transitionprobs	5	5	0.6844186670558023
transitionprobs	5	6	0.0481605774932614
transitionprobs	5	7	0.0
transitionprobs	5	8	0.027464402047822686
transitionprobs	5	9	0.0
transitionprobs	5	10	0.04174828226191414
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	5	13	0.0
transitionprobs	5	14	0.0
transitionprobs	5	15	0.0
transitionprobs	6	1	0.02574559238277164
transitionprobs	6	2	0.12992588372631675
transitionprobs	6	3	0.009373444639547585
transitionprobs	6	4	0.012612392888689993
transitionprobs	6	5	0.01885976385002499
transitionprobs	6	6	0.7282694694996461
transitionprobs	6	7	0.0
transitionprobs	6	8	0.06503234665145978
transitionprobs	6	9	0.004251066912562816
transitionprobs	6	10	0.005298768555703804
transitionprobs	6	11	0.0
